CUST_ID,REGISTRATION_ID,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,INCOME,MEMBERS_IN_HOUSEHOLD,PRODUCT_BROWSED_TOTAL,PRODUCT_BROWSED_AVERAGE,PRODUCT_PURCHASED_TOTAL,PRODUCT_PURCHASED_AVERAGE,ITEMS_PLACED_IN_CART_TOTAL,ITEMS_PLACED_IN_CART_AVERAGE,ONSITE_SEARCHES_TOTAL,ONSITE_SEARCHES_AVERAGE,PAGE_VIEWS_TOTAL,PAGE_VIEWS_AVERAGE,AMOUNT_BROWSED_TOTAL,AMOUNT_BROWSED_AVERAGE,AMOUNT_CARTED_TOTAL,AMOUNT_CARTED_AVERAGE,AMOUNT_PURCHASED_TOTAL,AMOUNT_PURCHASED_AVERAGE,AMOUNT_ABANDONED_TOTAL,AMOUNT_ABANDONED_AVERAGE,NUMBER_OF_ACTIVITIES_TOTAL,NUMBER_OF_ACTIVITIES_AVERAGE,NUMBER_OF_SESSIONS,COOKIE_ID,PCI_BUYER_CATEGORY,PCI_LTV,PCI_DEMOGRAPHIC_CLUSTER,PCI_ONLINE_BEHAVIOR_CLUSTER,PCI_BUYING_BEHAVIOR_CLUSTER,,,PCI_PRODUCT_PURCHASE_AFFINITY,PCI_PRODUCT_BROWSE_AFFINITY,PCI_NEXT_BEST_OFFER1,PCI_NEXT_BEST_OFFER2,PCI_NEXT_BEST_OFFER3,PCI_TOP_PRODUCT1,PCI_TOP_PRODUCT2,PCI_TOP_PRODUCT3
1,50524,44,M,S,Private Sector,High School,36021,1,2,0.5,0,0,1,0.25,0,0,14,3.5,1548,387,1099,274.75,0,0,1099,274.75,28,7,4,2.97E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,4,5,9,3211,3213,6178
2,226666,21,F,U,Pharmacist,Post College,27677,2,0,0,0,0,0,0,1,0.5,7,3.5,0,0,0,0,0,0,0,0,8,4,2,5.38E+22,Visitor,LOW VALUE,MARRIED WOMEN,REPEAT BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Women's Career,Women's Sportwear,4,5,9,3211,3213,6178
3,254376,28,F,U,Private Sector,High School,27569,2,4,0.8,0,0,0,0,0,0,22,4.4,2255,451,0,0,0,0,0,0,51,10.2,5,4.72E+22,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Shoes,Accessories,2,3,1,3199,3194,3188
4,288205,47,M,M,Engineer,College,75761,3,5,1,0,0,2,0.4,3,0.6,48,9.6,1845,369,598,119.6,0,0,598,119.6,100,20,5,4.72E+22,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Men's Casual,Furniture,7,9,10,6200,6204,6209
5,660891,26,M,U,Engineer,Post College,49660,2,3,1,0,0,0,0,1,0.333333,9,3,727,242.333333,0,0,0,0,0,0,17,5.666667,3,4.72E+22,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Shoes,Beauty,4,9,10,3211,3213,6178
6,817961,27,M,S,Engineer,Post College,47997,1,3,0.6,2,0.4,2,0.4,3,0.6,69,13.8,3027,605.4,1728,345.6,1728,345.6,1728,345.6,135,27,5,4.72E+22,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Sportswear,Athletic Shoes,4,9,10,3211,3213,6178
7,1378359,39,M,S,Pharmacist,Post College,64542,1,1,0.333333,0,0,0,0,0,0,14,4.666667,229,76.333333,0,0,0,0,0,0,26,8.666667,3,8.01E+22,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,,,Men's Career,Formal Shoes,4,5,9,3199,3194,3188
8,1908835,55,F,M,Engineer,College,50137,3,1,0.333333,0,0,0,0,2,0.666667,9,3,299,99.666667,0,0,0,0,0,0,22,7.333333,3,1.14E+22,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Home goods,Athletic Shoes,4,5,9,6200,6204,6209
9,2228675,41,F,M,Professor,Post College,91048,2,2,0.666667,0,0,0,0,2,0.666667,11,3.666667,898,299.333333,0,0,0,0,0,0,23,7.666667,3,1.14E+22,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,ONLINE MEDIUM VALUE NON OFFER SEEKER,,,Women's Sportwear,Women's Sportwear,2,3,1,3211,3213,6178
10,3394840,47,M,S,Financial analyst,College,78746,1,2,1,0,0,0,0,2,1,7,3.5,878,439,0,0,0,0,0,0,13,6.5,2,1.14E+22,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Career,Women's Sportwear,7,9,10,3211,3213,6178
11,3544112,26,F,S,Private Sector,High School,18177,1,2,1,0,0,3,1.5,0,0,19,9.5,828,414,2147,1073.5,0,0,2147,1073.5,45,22.5,2,1.59E+22,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,,,Women's Shoes,Accessories,4,9,10,3199,3194,3188
12,4209640,30,F,U,Not employed,Post College,61697,2,2,0.666667,0,0,0,0,1,0.333333,10,3.333333,1698,566,0,0,0,0,0,0,25,8.333333,3,1.59E+22,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,,,Men's Casual,Furniture,4,9,10,6200,6204,6209
